PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	69	0.2265	0.3736667	0.5398167	668.0714	10863.021484375	40288.8515625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	174.6004	667.59579:17 667.99815:16 668.07143:21486 668.3693:37 668.40976:17 668.58886:22 669.07259:9714 669.16922:15 669.25683:15 669.2858:4 669.32027:32 669.39424:130 669.42417:13 669.45111:3 669.56733:7 669.9869:3 670.07332:2896 670.12848:16 670.17135:3 670.18806:8 670.21887:21 670.25578:10 670.27109:3 670.3121:16 670.35357:39 670.38378:50 670.49247:4 670.52471:10 670.55658:86 670.70544:11 671.07673:636 671.14688:16 671.23745:13 671.26678:27 671.29872:18 671.32093:10 671.34291:19 671.4094:101 671.42879:7 671.44495:7 671.47415:4 671.49732:7 671.54439:46 672.07774:88 672.11398:4 672.16514:15 672.21464:38 672.24113:12 672.26842:10 672.29641:56 672.35981:43 672.41509:24 672.43678:30 672.46518:7 672.52289:474 672.58062:7	51.9384:6 91.01699:3 102.04429:3 121.0148:39 128.04423:8 129.0483:4 130.04204:8 137.03515:3 138.01295:1 138.02697:2 142.03941:13 143.0461:2 143.0565:1 144.05298:2 156.04449:109 157.04416:15 158.05875:22 159.04159:15 160.04868:1 166.02315:8 171.04435:10 182.04905:7 186.05182:4 212.96557:7 213.96798:22 217.06506:7 218.08023:4 226.97532:2 227.96783:4 228.95335:6 229.96122:27 229.97511:11 234.07067:6 241.9636:41 242.97192:18 247.06413:15 248.07464:11 260.9873:5 263.05122:7 263.08637:14 265.07077:19 275.06292:3 277.05066:7 277.06985:2 282.07908:15 284.06697:2 293.043:3 293.07558:109 293.99533:3 302.99422:7 307.98886:2 314.00909:5 316.0134:3 318.98731:13 319.00737:4 321.00113:4 321.99908:9 329.00901:2 331.00666:13 332.9699:5 333.0032:2 334.99006:9 344.99672:11 346.98966:24 347.99175:11 350.03065:9 357.97301:3 358.99614:82 360.00981:22 360.991:35 361.99308:47 362.01089:11 362.98577:27 364.95221:2 366.01382:17 366.02967:22 366.99038:6 368.00973:3 370.03667:4 373.86598:2 374.96364:5 374.99141:414 375.9969:12 376.96651:15 376.97817:10 376.99581:31 377.00981:10 377.97694:4 378.00169:22 378.99419:19 382.01421:77 383.03976:17 390.9881:779 391.02516:12 391.98369:29 392.02173:6 392.37199:6 392.99511:37 393.00871:12 393.0563:2 394.97204:17 399.98968:16 400.01775:4 408.9963:38 409.02513:6 422.04123:12 441.05102:8 450.03448:8 453.01424:8 457.05914:21 458.04892:6 465.01949:19 466.01969:30 467.99249:26 468.03243:11 471.05205:6 473.03134:6 475.04487:12 479.03867:4 480.01154:2 483.01319:4 486.05091:113 487.03356:2 488.05211:30 494.01922:2 494.99593:4 495.01967:30 495.03424:13 496.01121:532 496.05798:9 497.02295:8 497.80783:11 498.01807:33 501.05514:26 501.54176:2 502.04436:203 502.98886:7 503.01483:2 503.05501:570 505.02374:7 506.00457:9 507.02498:3 507.045:12 511.0178:614 512.02618:244 513.02911:9 514.01167:36 514.03509:3 514.04491:4 514.49719:37 515.01753:3 515.03751:22 516.05001:2893 516.10821:2 516.65206:2 517.02905:72 517.06032:7 517.69912:7 517.99459:4 518.04794:25 519.03661:9 519.90362:9 520.02485:2 520.03805:7 520.05911:12 521.05304:33 521.10135:9 524.01245:39 524.06314:9 525.00509:2 525.02439:9 527.9975:134 529.03378:41 530.02967:7 534.02017:9 534.0445:9 534.06883:22 535.04381:108 548.02181:2 556.0028:101 556.04097:21 574.10406:12 576.08509:5 576.1171:7 605.05451:12 605.07775:5 605.09939:5 620.06258:24 621.04342:7 621.07347:27 621.09414:2 622.0801:184 634.0353:7 634.06568:7 634.08577:7 637.06428:16 650.06142:95 650.10588:8 651.06559:775 652.04815:21 653.04222:19 666.02999:44 666.0523:41 666.10362:9 667.00359:13 667.95194:10 667.99426:11 668.07104:7664 668.19714:15 668.27667:3 668.30492:10 668.3438:20 668.42364:5 668.45086:3 669.64176:8 669.89787:5 670.18371:11 671.79753:3 671.92851:8
1	w/o MS2:Ambrisentan	95	0.3329667	0.4	0.5069833	379.1649	7756.705078125	34056.62890625	null	[M+H]+	M + 0		null	379.16501	C22H22N2O4		OUJTZYPIHDYQMC-LJQANCHMSA-N	[C@@H](OC1=NC(=CC(=N1)C)C)(C(O)=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)OC	530	True	True	False	null	null	null	null	100	37.10084	379.03405:31 379.10132:72 379.16486:10372 379.22149:27 379.24195:43 379.29485:17 379.32556:8 380.05473:7 380.09299:371 380.13585:336 380.16738:2364 380.21656:18 380.24262:24 380.27132:20 380.30282:8 380.33466:42 380.36099:6 381.02562:6 381.05271:12 381.09346:102 381.13832:161 381.16995:340 381.23957:109 381.28111:9 381.30876:68 381.33419:25 381.37413:12 382.03587:13 382.07603:46 382.10392:34 382.14094:15 382.16841:57 382.19851:11 382.22123:5 382.22839:39 382.263:28 382.32499:35 382.97819:8 383.06782:33 383.0868:10 383.10864:28 383.13096:31 383.14748:10 383.17687:88 383.23012:142 383.27558:25 383.29055:9 383.3281:248 384.09017:169 384.15626:26	41.03895:11 57.06914:154 65.03545:21 91.05368:51 93.03194:109 98.9805:26 107.04505:12 109.06632:68 121.0633:211 121.10126:169 141.06681:42 149.09467:498 169.06077:146 172.994:31 173.00449:54 175.00915:86 209.05619:26 215.04855:30 229.06216:27 230.06447:9 231.08331:45 248.07995:9 248.09432:19 249.02415:84 260.09686:10 262.07125:19 267.04:3548 269.02948:39 323.10476:3301 335.14551:32 351.13102:133 362.12059:34 379.13018:229 379.16358:963
2	w/o MS2:N-(2-(benzylamino)-1-(4-methoxyphenyl)-2-oxoethyl)-N-(furan-2-ylmethyl)pentanamide	95	0.3223333	0.4	0.5259833	435.228	17809.197265625	77045.453125	null	[M+H]+	M + 0	found in higher mz's MsMs_3	null	435.228	C26H30N2O4		ZDNITJPZHFZSBQ-UHFFFAOYSA-N	CCCCC(=O)N(Cc1ccco1)C(C(=O)NCc2ccccc2)c3ccc(OC)cc3	530	True	True	False	null	null	null	null	100	113.4291	434.73603:6 434.87864:9 434.9209:54 435.05262:20 435.07902:6 435.10153:11 435.12887:3 435.14873:41 435.22796:25714 435.36508:8 436.03333:12 436.06303:12 436.10732:265 436.1663:54 436.23118:6451 436.28119:31 436.36454:20 436.39604:18 436.41459:7 437.05509:3 437.11401:1756 437.1696:149 437.19348:6 437.23444:1171 437.33079:25 437.36701:62 437.39364:5 437.4061:8 437.7116:26 437.93334:9 438.04497:19 438.11737:445 438.16841:72 438.20543:14 438.23245:166 438.27233:48 438.30845:35 438.331:12 438.37664:877 438.43863:16 439.11736:244 439.15223:15 439.17162:15 439.20799:103 439.24346:26 439.26203:4 439.27845:47 439.30942:60 439.34141:59 439.37776:226 439.41545:10 439.43267:8 439.74254:21 439.9654:3 440.11568:77 440.14012:34 440.18565:43 440.20947:29	39.02351:15 41.0376:8 57.0697:424 65.03939:21 91.05427:23 93.03013:6 105.07182:42 107.04432:49 109.06524:86 121.06233:188 121.09107:6 121.10188:84 135.07522:21 147.11326:61 148.65313:14 149.09575:812 163.10423:38 169.06193:23 172.99807:58 175.0132:78 205.15581:177 215.03956:43 229.05956:18 231.08347:58 266.24739:48 267.04097:2090 271.11485:39 285.12193:20 308.06276:62 323.10326:4342 378.0247:75 379.16513:4668 382.05139:46 420.19048:60 420.20199:60 433.93267:61
3	Unknown	95	0.3329667	0.4	0.4873167	491.2908	88824.7421875	372596.40625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	1080.901	490.81015:199 490.86464:46 490.90536:14 490.94166:3 490.96757:11 490.994:16 491.03601:43 491.08629:11 491.11788:14 491.14822:112 491.1865:27 491.29079:143584 491.64011:6 491.72726:6 491.7826:20 491.81033:16 491.86635:7 491.88303:3 491.96305:16 492.00467:11 492.03981:11 492.0806:8 492.11953:24 492.15179:112 492.17462:7 492.19969:7 492.22054:4 492.29359:38805 492.5987:36 492.63498:8 492.66265:7 492.6786:8 492.71258:38 492.79544:22 492.86957:27 492.89118:20 492.93108:42 493.01543:45 493.06666:17 493.12184:39 493.16034:365 493.2014:14 493.22098:56 493.24634:74 493.29512:7350 493.38589:28 493.41553:19 493.4624:9 493.49331:19 493.54042:4 493.57023:13 493.61495:16 493.65896:18 493.67091:7 493.68521:14 493.73318:14 493.74884:9 493.77639:6 493.78679:6 493.81219:25 493.84495:12 493.87291:18 493.90501:20 493.93028:6 493.97411:38 494.00948:21 494.07618:24 494.12777:65 494.16822:213 494.21156:74 494.29781:1089 494.34773:7 494.36646:15 494.38787:34 494.41947:45 494.45761:6 494.47592:7 494.50443:14 494.565:59 494.64913:31 494.68272:11 494.73578:38 494.76978:14 494.82364:18 494.87098:16 494.88839:18 494.93009:19 494.94619:8 494.96337:3 494.98679:6 495.0024:8 495.02017:4 495.04705:21 495.07312:25 495.10078:7 495.13569:25 495.17617:244 495.22681:44 495.26526:191 495.30192:193 495.34629:34 495.39412:101 495.43622:58 495.49459:27 495.53968:3 495.5803:9 495.60963:11 495.65568:30 495.69535:7 495.74749:6 495.78343:3 495.84245:4 495.85701:32 495.91424:20 495.96628:6 496.00692:7 496.02359:6 496.06032:16 496.07906:26 496.1007:7 496.12656:26 496.17683:89 496.20204:47 496.22503:4 496.23341:3 496.25552:21 496.2851:133	39.02283:11 41.03819:15 57.06957:1118 105.06795:9 109.06217:80 121.06275:143 121.09939:36 135.08207:106 147.11768:36 149.09559:1704 163.10513:8 175.01184:43 191.01774:33 205.15934:710 225.12331:40 231.07905:63 267.04007:1044 271.10815:351 285.12667:20 286.13224:264 308.06153:21 323.10376:4409 364.1321:67 372.0998:23 378.02607:103 379.16516:13105 420.19431:115 433.89612:12 433.91761:166 435.22952:16794 435.27497:22 476.25365:187 489.80717:170 491.13126:26 491.15965:85 491.21059:26 491.29038:11441 491.3297:18
4	Unknown	95	0.3329667	0.4	0.4714833	492.2936	25313.046875	106492.75	null	[M+H]+	M + 1	isotope of 3	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	188.1024	491.81033:16 491.86635:7 491.88303:3 491.96305:16 492.00467:11 492.03981:11 492.0806:8 492.11953:24 492.15179:112 492.17462:7 492.19969:7 492.22054:4 492.29359:38805 492.5987:36 492.63498:8 492.66265:7 492.6786:8 492.71258:38 492.79544:22 492.86957:27 492.89118:20 492.93108:42 493.01543:45 493.06666:17 493.12184:39 493.16034:365 493.2014:14 493.22098:56 493.24634:74 493.29512:7350 493.38589:28 493.41553:19 493.4624:9 493.49331:19 493.54042:4 493.57023:13 493.61495:16 493.65896:18 493.67091:7 493.68521:14 493.73318:14 493.74884:9 493.77639:6 493.78679:6 493.81219:25 493.84495:12 493.87291:18 493.90501:20 493.93028:6 493.97411:38 494.00948:21 494.07618:24 494.12777:65 494.16822:213 494.21156:74 494.29781:1089 494.34773:7 494.36646:15 494.38787:34 494.41947:45 494.45761:6 494.47592:7 494.50443:14 494.565:59 494.64913:31 494.68272:11 494.73578:38 494.76978:14 494.82364:18 494.87098:16 494.88839:18 494.93009:19 494.94619:8 494.96337:3 494.98679:6 495.0024:8 495.02017:4 495.04705:21 495.07312:25 495.10078:7 495.13569:25 495.17617:244 495.22681:44 495.26526:191 495.30192:193 495.34629:34 495.39412:101 495.43622:58 495.49459:27 495.53968:3 495.5803:9 495.60963:11 495.65568:30 495.69535:7 495.74749:6 495.78343:3 495.84245:4 495.85701:32 495.91424:20 495.96628:6 496.00692:7 496.02359:6 496.06032:16 496.07906:26 496.1007:7 496.12656:26 496.17683:89 496.20204:47 496.22503:4 496.23341:3 496.25552:21 496.2851:133 496.33011:16 496.35797:42 496.4173:1068 496.46999:27 496.49544:15 496.53268:25 496.63545:13 496.74337:9 496.80507:9 496.84348:3 496.8958:9 496.96864:24 497.05626:8 497.07347:7 497.11423:65 497.14107:16 497.17377:53 497.19829:17 497.22423:85 497.25164:5	
5	Unknown	95	0.3045833	0.4	0.6183167	694.1352	21457.287109375	95691.7890625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	580.1542	693.8068:4 694.01386:3 694.03782:11 694.13517:37120 694.21562:10 694.39108:16 694.432:15 694.45328:4 694.47615:16 694.60562:11 694.7129:11 695.05896:46 695.13743:18129 695.22523:40 695.2513:7 695.2736:24 695.32005:198 695.37849:36 695.43916:262 695.48738:32 695.58298:33 695.7177:7 695.76954:7 695.89172:7 696.13752:5666 696.21948:20 696.26212:32 696.28601:4 696.32527:212 696.3774:45 696.4417:217 696.53615:15 696.60653:7 696.71026:15 696.8066:22 697.13822:1261 697.1905:8 697.21177:9 697.23889:38 697.26404:45 697.28972:32 697.32153:188 697.36028:79 697.39388:43 697.41808:9 697.44972:101 697.49437:12 697.5415:5 697.58304:16 698.14381:222 698.19299:13 698.23151:36 698.26379:66 698.32548:110 698.34811:163 698.45667:128 698.52012:17 698.58508:22 698.69751:15 699.03889:7 699.07644:119	354.05367:33 373.02541:80 405.02924:326 420.08977:24 445.05305:37 448.05853:50 451.06006:88 451.08172:131 455.18438:38 464.07857:89 472.0706:102 477.06216:52 478.05536:90 478.07139:13 502.10777:185 504.05035:13 508.06698:66 567.31572:84 578.14383:411 606.14916:102 623.37887:15 632.11919:22 632.13335:311 650.1456:105 692.03674:171 694.13507:36674 694.21538:29 694.31111:78 694.43132:117 694.47016:47 695.10656:16 695.93024:62 696.12652:31 696.72663:31 697.51605:62
6	Unknown	95	0.3276	0.4	0.5398167	695.1375	10541.533203125	47262.484375	null	[M+H]+	M + 1	isotope of 5	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	149.3949	694.7129:11 695.05896:46 695.13743:18129 695.22523:40 695.2513:7 695.2736:24 695.32005:198 695.37849:36 695.43916:262 695.48738:32 695.58298:33 695.7177:7 695.76954:7 695.89172:7 696.13752:5666 696.21948:20 696.26212:32 696.28601:4 696.32527:212 696.3774:45 696.4417:217 696.53615:15 696.60653:7 696.71026:15 696.8066:22 697.13822:1261 697.1905:8 697.21177:9 697.23889:38 697.26404:45 697.28972:32 697.32153:188 697.36028:79 697.39388:43 697.41808:9 697.44972:101 697.49437:12 697.5415:5 697.58304:16 698.14381:222 698.19299:13 698.23151:36 698.26379:66 698.32548:110 698.34811:163 698.45667:128 698.52012:17 698.58508:22 698.69751:15 699.03889:7 699.07644:119 699.1389:39 699.17441:8 699.20468:24 699.24829:44 699.28292:44 699.33067:249 699.37003:94 699.41:146 699.43424:7 699.47103:353 699.53732:13 699.59937:48 699.74482:98 699.95386:9 699.9769:23 700.04971:18 700.08058:48	
7	Unknown	121	0.2034167	0.4278167	0.57965	1006.621	17443.353515625	74647.3125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	734.7968	1006.19316:18 1006.23991:4 1006.27216:23 1006.29557:4 1006.40493:32 1006.46477:8 1006.4967:15 1006.52896:20 1006.62136:37344 1006.70586:5 1006.75775:33 1006.92348:16 1007.1831:18 1007.31324:4 1007.34666:26 1007.38856:14 1007.42784:12 1007.49145:62 1007.62449:23091 1007.71379:17 1008.0306:4 1008.12514:18 1008.27795:9 1008.39562:16 1008.50458:118 1008.62761:8222 1008.8084:9 1008.99565:12 1009.11185:47 1009.19649:22 1009.26987:27 1009.48627:76 1009.5599:423 1009.62744:2217 1010.11188:18 1010.15633:27 1010.23357:17 1010.26897:12 1010.30295:15 1010.33532:5 1010.39157:39 1010.42361:6 1010.44977:30 1010.56542:332 1010.62748:709 1010.73524:8 1010.94722:31 1011.02309:27 1011.19492:31 1011.29312:9 1011.33329:21 1011.38909:12 1011.46877:44 1011.49966:50 1011.57845:1887	205.12382:25 219.17455:44 369.1839:23 487.14902:338 505.17447:99 543.21014:69 543.2279:117 597.2475:86 599.25394:29 599.28143:29 635.21787:535 653.21979:2528 653.31238:23 655.33712:60 665.29357:15 691.27008:93 709.28081:978 709.32952:31 711.40142:157 765.34075:777 765.38382:82 803.38355:100 821.34935:152 821.4052:186 821.43383:34 899.59856:53 962.62442:37 1003.6157:75 1006.43258:37 1006.52934:90 1006.62099:15524 1006.98707:94
8	Unknown	121	0.1129	0.4278167	0.5929833	1007.625	10916.271484375	47911.77734375	null	[M+H]+	M + 1	isotope of 7	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	367.976	1007.1831:18 1007.31324:4 1007.34666:26 1007.38856:14 1007.42784:12 1007.49145:62 1007.62449:23091 1007.71379:17 1008.0306:4 1008.12514:18 1008.27795:9 1008.39562:16 1008.50458:118 1008.62761:8222 1008.8084:9 1008.99565:12 1009.11185:47 1009.19649:22 1009.26987:27 1009.48627:76 1009.5599:423 1009.62744:2217 1010.11188:18 1010.15633:27 1010.23357:17 1010.26897:12 1010.30295:15 1010.33532:5 1010.39157:39 1010.42361:6 1010.44977:30 1010.56542:332 1010.62748:709 1010.73524:8 1010.94722:31 1011.02309:27 1011.19492:31 1011.29312:9 1011.33329:21 1011.38909:12 1011.46877:44 1011.49966:50 1011.57845:1887 1011.7507:36 1012.01845:4 1012.04985:4 1012.11785:48 1012.25303:9 1012.28541:11 1012.33342:16 1012.38254:24 1012.41523:5 1012.48491:50 1012.52003:39 1012.57936:1228	
9	w/o MS2:3,5-dimethoxyphenyl 4-benzylpiperazinyl ketone	134	0.3613333	0.44215	0.6453	363.1713	18408.0703125	95482.09375	null	[M+H]+	M + 0		null	363.168	C20H24N2O3		KUFVQEKUJKPXGF-UHFFFAOYSA-N	COc1cc(OC)cc(C(=O)N2CCN(Cc3ccccc3)CC2)c1	530	True	True	False	null	null	null	null	60.6	99.60371	362.76031:12 362.95337:8 363.06335:11 363.08554:22 363.1713:34969 363.22587:7 363.24222:2 363.25901:12 363.28226:10 363.30841:165 363.33156:3 364.05191:12 364.09538:139 364.17421:7704 364.23458:96 364.3403:2118 364.41623:5 364.43632:8 364.9007:6 364.92318:6 364.96841:10 365.04917:9 365.07929:24 365.10971:109 365.17634:1214 365.20977:29 365.24251:75 365.28505:34 365.31881:212 365.34393:672 365.47226:12 365.61434:13 365.6666:6 365.79478:11 365.89733:3 365.90839:6 365.94924:3 366.09662:131 366.18046:157 366.20183:52 366.22421:4 366.24842:25 366.2978:48 366.32182:101 366.34585:111 366.75558:13 366.8761:8 366.92719:3 366.96456:3 367.01112:10 367.05502:19 367.0753:32 367.09461:33 367.14089:160 367.18073:87 367.19739:17 367.22272:170 367.26038:60 367.28774:46 367.33255:267 367.43552:3 367.72616:8 367.73424:13 367.77327:5 367.91325:10 367.94952:11 367.98905:38 368.05419:91 368.08561:16 368.10281:32 368.11738:16 368.14449:67	39.02351:15 41.03855:49 57.06967:549 91.05471:104 95.0472:46 105.06693:24 153.06554:95 157.10469:15 171.07831:15 175.00856:8 215.03067:125 233.03004:112 250.298:47 251.04655:10869 251.08704:44 253.36088:28 253.59107:28 254.69429:75 256.10981:9 303.15743:10 306.17352:52 306.18089:31 307.10945:6544 307.14718:59 309.47846:31 311.09567:52 313.69824:10 346.13637:55 363.11195:45 363.12696:11 363.174:2329 363.31098:34
