Alignment ID	Average Rt(min)	Average Mz	Metabolite name	Adduct type	Post curation result	Fill %	MS/MS assigned	Reference RT	Reference m/z	Formula	Ontology	INCHIKEY	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	Comment	Manually modified for quantification	Manually modified for annotation	Isotope tracking parent ID	Isotope tracking weight number	Total score	RT similarity	Dot product	Reverse dot product	Fragment presence %	S/N average	Spectrum reference file name	MS1 isotopic spectrum	MS/MS spectrum	HF1_1578259_CP_QC1	HF1_1578259_CP_QC2	HF1_1578259_CP_QC3	HF1_1578259_CP_QC4	HF1_1578259_CP_QC5
0	0.516	100.93197	Unknown	[M+H]+	similar chromatogram in higher mz_87; similar chromatogram in higher mz_1365; similar chromatogram in higher mz_859	1	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	123.95	HF1_1578259_CP_QC4	100.93197:2857846 101.93532:351974 102.93868:1403863		572061	2030782	2343223	2857846	1181413
1	11.704	100.93217	Unknown	[M+H]+	similar chromatogram in higher mz_184; similar chromatogram in higher mz_461; similar chromatogram in higher mz_1350; similar chromatogram in higher mz_165; similar chromatogram in higher mz_1231; similar chromatogram in higher mz_1107; similar chromatogram in higher mz_1499; similar chromatogram in higher mz_1592; similar chromatogram in higher mz_75; similar chromatogram in higher mz_792; similar chromatogram in higher mz_1325; similar chromatogram in higher mz_1443	0.6	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	73.04	HF1_1578259_CP_QC1	100.93217:1110702 101.93552:51851 102.93888:166782	59.0498:9877 59.93088:86661 62.3489:4992 68.98269:23549 69.07037:10121 74.04762:4830 86.99335:24488	1110702	1071321	1039247	1063994	908938
2	1.052	101.00863	Unknown	[M+H]+	similar chromatogram in higher mz_894; similar chromatogram in higher mz_147; similar chromatogram in higher mz_737; similar chromatogram in higher mz_28; similar chromatogram in higher mz_283; similar chromatogram in higher mz_127; similar chromatogram in higher mz_405; similar chromatogram in higher mz_640; similar chromatogram in higher mz_1197; similar chromatogram in higher mz_911; similar chromatogram in higher mz_1009; similar chromatogram in higher mz_326; similar chromatogram in higher mz_425; similar chromatogram in higher mz_755; similar chromatogram in higher mz_242; similar chromatogram in higher mz_1005; similar chromatogram in higher mz_47; similar chromatogram in higher mz_860; similar chromatogram in higher mz_502; similar chromatogram in higher mz_35; similar chromatogram in higher mz_1081; similar chromatogram in higher mz_600; similar chromatogram in higher mz_185; similar chromatogram in higher mz_1214; similar chromatogram in higher mz_67; similar chromatogram in higher mz_438; similar chromatogram in higher mz_655; similar chromatogram in higher mz_537; similar chromatogram in higher mz_1412; similar chromatogram in higher mz_4; similar chromatogram in higher mz_278; similar chromatogram in higher mz_360; similar chromatogram in higher mz_374; similar chromatogram in higher mz_389; similar chromatogram in higher mz_393; similar chromatogram in higher mz_402; similar chromatogram in higher mz_414; similar chromatogram in higher mz_519; similar chromatogram in higher mz_521; similar chromatogram in higher mz_556; similar chromatogram in higher mz_631; similar chromatogram in higher mz_763; similar chromatogram in higher mz_882; similar chromatogram in higher mz_992; similar chromatogram in higher mz_1075; similar chromatogram in higher mz_1089; similar chromatogram in higher mz_1108; similar chromatogram in higher mz_1145; similar chromatogram in higher mz_1165; similar chromatogram in higher mz_1168; similar chromatogram in higher mz_1274; similar chromatogram in higher mz_1285; similar chromatogram in higher mz_1287; similar chromatogram in higher mz_1298; similar chromatogram in higher mz_1445; similar chromatogram in higher mz_1458; similar chromatogram in higher mz_1467; similar chromatogram in higher mz_2255; found in higher mz's MsMs_519; similar chromatogram in higher mz_177; similar chromatogram in higher mz_718; similar chromatogram in higher mz_1079; similar chromatogram in higher mz_1102; similar chromatogram in higher mz_1132; similar chromatogram in higher mz_1226; similar chromatogram in higher mz_1519; similar chromatogram in higher mz_1960; similar chromatogram in higher mz_2089; similar chromatogram in higher mz_2152; similar chromatogram in higher mz_2515; similar chromatogram in higher mz_663; similar chromatogram in higher mz_465; similar chromatogram in higher mz_254; found in higher mz's MsMs_254; similar chromatogram in higher mz_1305; similar chromatogram in higher mz_1543; similar chromatogram in higher mz_1181; similar chromatogram in higher mz_740; similar chromatogram in higher mz_1095; similar chromatogram in higher mz_569; similar chromatogram in higher mz_513; similar chromatogram in higher mz_489; similar chromatogram in higher mz_2096; similar chromatogram in higher mz_2392; similar chromatogram in higher mz_649; similar chromatogram in higher mz_752; similar chromatogram in higher mz_1824	1	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	181.41	HF1_1578259_CP_QC1	101.00874:4086894 102.01209:991651 103.01545:1604285	59.94101:5277 82.01423:14563 101.00887:49842	4086894	3048491	3904796	2425941	4222256
3	0.512	102.94804	Unknown	[M+H]+		0.4	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	32.71	HF1_1578259_CP_QC2	102.94804:891096 103.95139:324377 104.95475:2030514		164894	891096	375977	504323	321972
4	1.056	103.00633	Unknown	[M+H]+	similar chromatogram in higher mz_878; similar chromatogram in higher mz_718; similar chromatogram in higher mz_561; similar chromatogram in higher mz_989; similar chromatogram in higher mz_2079; similar chromatogram in higher mz_612; similar chromatogram in higher mz_1604; similar chromatogram in higher mz_636; similar chromatogram in higher mz_1122; similar chromatogram in higher mz_1541; similar chromatogram in higher mz_1725; similar chromatogram in higher mz_777; similar chromatogram in higher mz_1612	1	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	71.47	HF1_1578259_CP_QC1	103.00633:1489328 104.00968:0 105.01304:461892		1489328	1082328	1252049	861752	1431114
5	4.868	103.05476	Unknown	[M+H]+	found in higher mz's MsMs_471; found in higher mz's MsMs_169; found in higher mz's MsMs_2701; found in higher mz's MsMs_831; similar chromatogram in higher mz_2728; similar chromatogram in higher mz_2701; similar chromatogram in higher mz_713; similar chromatogram in higher mz_2683	1	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	68.95	HF1_1578259_CP_QC1	103.05473:1980418 104.05808:296829 105.06144:202636	77.0392:17901 95.04958:40599	1980418	2367466	2141187	2021765	1928526
6	1.254	104.10739	Unknown	[M+H]+	found in higher mz's MsMs_1085	1	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	6041.64	HF1_1578259_CP_QC1	104.1074:92303880 105.11075:7834148 106.11411:467657	60.08144:5644665	92303880	109804408	79489376	69023504	77552488
7	0.516	104.96367	Unknown	[M+H]+		0.6	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	31.52	HF1_1578259_CP_QC2	104.96367:796564 105.96702:0 106.97038:0		228583	796564	560933	704136	346792
8	11.716	104.96377	Unknown	[M+H]+		0.6	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	120.96	HF1_1578259_CP_QC3	104.96377:1736091 105.96712:62201 106.97048:439661		1355579	1405343	1736091	1706969	1502635
9	5.552	105.03388	Unknown	[M+H]+		0.8	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	35.19	HF1_1578259_CP_QC2	105.03388:847902 106.03723:140245 107.04059:873746		814077	847902	787057	658973	662093
