Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,INCHIKEY,SMILES
13,1.255,83.01402,4-Hydroxy-2-butenoic acid gamma-lactone,[M-H]-,VIHAEDVKXSOUAT-UHFFFAOYSA-N,O=C1OCC=C1
14,1.082,83.01402,4-Hydroxy-2-butenoic acid gamma-lactone,[M-H]-,VIHAEDVKXSOUAT-UHFFFAOYSA-N,O=C1OCC=C1
20,3.803,83.01405,4-Hydroxy-2-butenoic acid gamma-lactone,[M-H]-,VIHAEDVKXSOUAT-UHFFFAOYSA-N,O=C1OCC=C1
25,3.754,83.01409,4-Hydroxy-2-butenoic acid gamma-lactone,[M-H]-,VIHAEDVKXSOUAT-UHFFFAOYSA-N,O=C1OCC=C1
55,9.763,85.02963,But-2-enoic acid,[M-H]-,LDHQCZJRKDOVOX-NSCUHMNNSA-N,C\C=C\C(O)=O
59,5.233,85.02965,But-2-enoic acid,[M-H]-,LDHQCZJRKDOVOX-NSCUHMNNSA-N,C\C=C\C(O)=O
62,13.714,85.02966,But-2-enoic acid,[M-H]-,LDHQCZJRKDOVOX-NSCUHMNNSA-N,C\C=C\C(O)=O
63,18.434,85.02966,But-2-enoic acid,[M-H]-,LDHQCZJRKDOVOX-NSCUHMNNSA-N,C\C=C\C(O)=O
90,12.972,85.02972,But-2-enoic acid,[M-H]-,LDHQCZJRKDOVOX-NSCUHMNNSA-N,C\C=C\C(O)=O
107,14.518,87.00746,PubChem_57828711,[M-H]-,IWEGUFXYGANRTB-UHFFFAOYSA-N,C(CF)[CH][Si]
109,3.099,87.0088,Pyruvic acid,[M-H]-,LCTONWCANYUPML-UHFFFAOYSA-N,CC(=O)C(O)=O
127,3.794,87.00893,Pyruvic acid,[M-H]-,LCTONWCANYUPML-UHFFFAOYSA-N,CC(=O)C(O)=O
130,3.038,87.00893,Malonic semialdehyde,[M-H]-,OAKURXIZZOAYBC-UHFFFAOYSA-N,OC(=O)CC=O
139,2.676,87.00898,Malonic semialdehyde,[M-H]-,OAKURXIZZOAYBC-UHFFFAOYSA-N,OC(=O)CC=O
169,1.071,89.02454,Hydroxypropionic acid,[M-H]-,ALRHLSYJTWAHJZ-UHFFFAOYSA-N,OCCC(O)=O
174,18.339,89.02454,Hydroxypropionic acid,[M-H]-,ALRHLSYJTWAHJZ-UHFFFAOYSA-N,OCCC(O)=O
175,5.253,89.02455,L-Lactic acid,[M-H]-,JVTAAEKCZFNVCJ-RUOZJJLTNA-N,C[C@H](O)C(O)=O
182,5.844,89.02457,Hydroxypropionic acid,[M-H]-,ALRHLSYJTWAHJZ-UHFFFAOYSA-N,OCCC(O)=O
186,23.66,89.02457,Hydroxypropionic acid,[M-H]-,ALRHLSYJTWAHJZ-UHFFFAOYSA-N,OCCC(O)=O
188,2.474,89.02459,L-Lactic acid,[M-H]-,JVTAAEKCZFNVCJ-RUOZJJLTNA-N,C[C@H](O)C(O)=O
190,2.872,89.02459,L-Lactic acid,[M-H]-,JVTAAEKCZFNVCJ-RUOZJJLTNA-N,C[C@H](O)C(O)=O
195,13.012,89.02459,L-Lactic acid,[M-H]-,JVTAAEKCZFNVCJ-RUOZJJLTNA-N,C[C@H](O)C(O)=O
196,2.697,89.0246,L-Lactic acid,[M-H]-,JVTAAEKCZFNVCJ-RUOZJJLTNA-N,C[C@H](O)C(O)=O
213,3.802,89.02466,Hydroxypropionic acid,[M-H]-,ALRHLSYJTWAHJZ-UHFFFAOYSA-N,OCCC(O)=O
214,13.073,89.02466,Hydroxypropionic acid,[M-H]-,ALRHLSYJTWAHJZ-UHFFFAOYSA-N,OCCC(O)=O
215,13.573,89.02466,Hydroxypropionic acid,[M-H]-,ALRHLSYJTWAHJZ-UHFFFAOYSA-N,OCCC(O)=O
308,1.552,95.01395,2-Furancarboxaldehyde,[M-H]-,HYBBIBNJHNGZAN-UHFFFAOYSA-N,O=CC1=CC=CO1
317,3.932,95.01402,2-Furancarboxaldehyde,[M-H]-,HYBBIBNJHNGZAN-UHFFFAOYSA-N,O=CC1=CC=CO1
319,2.872,95.01404,2-Furancarboxaldehyde,[M-H]-,HYBBIBNJHNGZAN-UHFFFAOYSA-N,O=CC1=CC=CO1
323,3.783,95.01405,2-Furancarboxaldehyde,[M-H]-,HYBBIBNJHNGZAN-UHFFFAOYSA-N,O=CC1=CC=CO1
324,3.866,95.01406,2-Furancarboxaldehyde,[M-H]-,HYBBIBNJHNGZAN-UHFFFAOYSA-N,O=CC1=CC=CO1
458,1.865,98.06136,(2R)-2-Hydroxy-2-methylbutanenitrile,[M-H]-,VMEHOTODTPXCKT-MLHKIVSYNA-N,CC[C@@](C)(O)C#N
481,8.992,98.90698,PubChem_20735120,[M-H]-,QAVFANVPBSEGTQ-UHFFFAOYSA-N,B#[Y]
482,13.01,98.90698,PubChem_20735120,[M-H]-,QAVFANVPBSEGTQ-UHFFFAOYSA-N,B#[Y]
507,2.524,98.90702,PubChem_20735120,[M-H]-,QAVFANVPBSEGTQ-UHFFFAOYSA-N,B#[Y]
517,7.24,98.90703,PubChem_20735120,[M-H]-,QAVFANVPBSEGTQ-UHFFFAOYSA-N,B#[Y]
520,1.964,98.90703,PubChem_20735120,[M-H]-,QAVFANVPBSEGTQ-UHFFFAOYSA-N,B#[Y]
526,13.474,98.90704,PubChem_20735120,[M-H]-,QAVFANVPBSEGTQ-UHFFFAOYSA-N,B#[Y]
535,13.171,98.90707,PubChem_20735120,[M-H]-,QAVFANVPBSEGTQ-UHFFFAOYSA-N,B#[Y]
538,13.706,98.90707,PubChem_20735120,[M-H]-,QAVFANVPBSEGTQ-UHFFFAOYSA-N,B#[Y]
541,13.649,98.90708,PubChem_20735120,[M-H]-,QAVFANVPBSEGTQ-UHFFFAOYSA-N,B#[Y]
544,2.394,98.90708,PubChem_20735120,[M-H]-,QAVFANVPBSEGTQ-UHFFFAOYSA-N,B#[Y]
546,7.685,98.90709,PubChem_20735120,[M-H]-,QAVFANVPBSEGTQ-UHFFFAOYSA-N,B#[Y]
598,1.201,99.00898,2-oxobut-3-enoic acid,[M-H]-,DGUBLKUCHAAUFT-UHFFFAOYSA-N,OC(=O)C(=O)C=C
624,24.19,99.92592,PubChem_21922114,[M-H]-,DANJDLPXDCLBQE-UHFFFAOYSA-N,O[Si][Si][Si]
726,1.704,99.92609,PubChem_21922114,[M-H]-,DANJDLPXDCLBQE-UHFFFAOYSA-N,O[Si][Si][Si]
