Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,INCHIKEY,SMILES
3,12.57,85.02893,4-Hydroxy-2-butenoic acid gamma-lactone,[M+H]+,VIHAEDVKXSOUAT-UHFFFAOYSA-N,O=C1OCC=C1
8,3.379,85.02898,4-Hydroxy-2-butenoic acid gamma-lactone,[M+H]+,VIHAEDVKXSOUAT-UHFFFAOYSA-N,O=C1OCC=C1
11,12.377,85.029,4-Hydroxy-2-butenoic acid gamma-lactone,[M+H]+,VIHAEDVKXSOUAT-UHFFFAOYSA-N,O=C1OCC=C1
12,1.291,85.02901,4-Hydroxy-2-butenoic acid gamma-lactone,[M+H]+,VIHAEDVKXSOUAT-UHFFFAOYSA-N,O=C1OCC=C1
15,7.913,85.02902,4-Hydroxy-2-butenoic acid gamma-lactone,[M+H]+,VIHAEDVKXSOUAT-UHFFFAOYSA-N,O=C1OCC=C1
28,2.415,85.02905,4-Hydroxy-2-butenoic acid gamma-lactone,[M+H]+,VIHAEDVKXSOUAT-UHFFFAOYSA-N,O=C1OCC=C1
32,8.175,85.02906,4-Hydroxy-2-butenoic acid gamma-lactone,[M+H]+,VIHAEDVKXSOUAT-UHFFFAOYSA-N,O=C1OCC=C1
35,0.562,85.02906,4-Hydroxy-2-butenoic acid gamma-lactone,[M+H]+,VIHAEDVKXSOUAT-UHFFFAOYSA-N,O=C1OCC=C1
38,3.194,85.02908,4-Hydroxy-2-butenoic acid gamma-lactone,[M+H]+,VIHAEDVKXSOUAT-UHFFFAOYSA-N,O=C1OCC=C1
41,3.264,85.02909,4-Hydroxy-2-butenoic acid gamma-lactone,[M+H]+,VIHAEDVKXSOUAT-UHFFFAOYSA-N,O=C1OCC=C1
42,0.617,85.02909,4-Hydroxy-2-butenoic acid gamma-lactone,[M+H]+,VIHAEDVKXSOUAT-UHFFFAOYSA-N,O=C1OCC=C1
46,8.851,85.02911,4-Hydroxy-2-butenoic acid gamma-lactone,[M+H]+,VIHAEDVKXSOUAT-UHFFFAOYSA-N,O=C1OCC=C1
52,21.509,85.07653,"but-2-yne-1,4-diamine",[M+H]+,CSZGEDPWASKNHR-UHFFFAOYSA-N,C(C#CCN)N
53,19.148,85.07654,"but-2-yne-1,4-diamine",[M+H]+,CSZGEDPWASKNHR-UHFFFAOYSA-N,C(C#CCN)N
54,18.502,85.07654,"but-2-yne-1,4-diamine",[M+H]+,CSZGEDPWASKNHR-UHFFFAOYSA-N,C(C#CCN)N
55,18.674,85.07655,"but-2-yne-1,4-diamine",[M+H]+,CSZGEDPWASKNHR-UHFFFAOYSA-N,C(C#CCN)N
59,17.167,85.07657,1-diazobutane,[M+H]+,PFJVIOBMBDFBCJ-UHFFFAOYSA-N,CCCC=[N+]=[N-]
62,23.418,85.07658,1-diazobutane,[M+H]+,PFJVIOBMBDFBCJ-UHFFFAOYSA-N,CCCC=[N+]=[N-]
63,22.86,85.07658,1-diazobutane,[M+H]+,PFJVIOBMBDFBCJ-UHFFFAOYSA-N,CCCC=[N+]=[N-]
65,22.756,85.07658,1-diazobutane,[M+H]+,PFJVIOBMBDFBCJ-UHFFFAOYSA-N,CCCC=[N+]=[N-]
68,17.377,85.0766,1-diazobutane,[M+H]+,PFJVIOBMBDFBCJ-UHFFFAOYSA-N,CCCC=[N+]=[N-]
71,22.072,85.0766,1-diazobutane,[M+H]+,PFJVIOBMBDFBCJ-UHFFFAOYSA-N,CCCC=[N+]=[N-]
72,23.206,85.07661,1-diazobutane,[M+H]+,PFJVIOBMBDFBCJ-UHFFFAOYSA-N,CCCC=[N+]=[N-]
79,17.065,85.07662,N'-propylmethanediimine,[M+H]+,ADAMEOZKZQRNKP-UHFFFAOYSA-N,CCCN=C=N
80,19.586,85.07662,2-(Dimethylamino)acetonitrile,[M+H]+,PLXBWEPPAAQASG-UHFFFAOYSA-N,CN(C)CC#N
85,23.348,85.07664,1-diazobutane,[M+H]+,PFJVIOBMBDFBCJ-UHFFFAOYSA-N,CCCC=[N+]=[N-]
86,18.269,85.07664,"but-2-yne-1,4-diamine",[M+H]+,CSZGEDPWASKNHR-UHFFFAOYSA-N,C(C#CCN)N
88,21.554,85.07664,1-diazobutane,[M+H]+,PFJVIOBMBDFBCJ-UHFFFAOYSA-N,CCCC=[N+]=[N-]
89,16.918,85.07664,"but-2-yne-1,4-diamine",[M+H]+,CSZGEDPWASKNHR-UHFFFAOYSA-N,C(C#CCN)N
91,17.508,85.07666,"but-2-yne-1,4-diamine",[M+H]+,CSZGEDPWASKNHR-UHFFFAOYSA-N,C(C#CCN)N
93,17.017,85.07667,2-(Dimethylamino)acetonitrile,[M+H]+,PLXBWEPPAAQASG-UHFFFAOYSA-N,CN(C)CC#N
94,21.645,85.07668,1-diazobutane,[M+H]+,PFJVIOBMBDFBCJ-UHFFFAOYSA-N,CCCC=[N+]=[N-]
98,18.13,85.07671,1-diazobutane,[M+H]+,PFJVIOBMBDFBCJ-UHFFFAOYSA-N,CCCC=[N+]=[N-]
142,3.393,86.0606,methacrylamide,[M+H]+,FQPSGWSUVKBHSU-UHFFFAOYSA-N,CC(=C)C(N)=O
148,3.194,86.06062,methacrylamide,[M+H]+,FQPSGWSUVKBHSU-UHFFFAOYSA-N,CC(=C)C(N)=O
154,2.385,86.06063,cyclopropanecarboxamide,[M+H]+,AIMMVWOEOZMVMS-UHFFFAOYSA-N,NC(=O)C1CC1
165,1.805,86.06071,cyclopropanecarboxamide,[M+H]+,AIMMVWOEOZMVMS-UHFFFAOYSA-N,NC(=O)C1CC1
174,2.053,86.09708,Piperidine,[M+H]+,NQRYJNQNLNOLGT-UHFFFAOYSA-N,C1CCNCC1
244,19.721,87.09224,Piperazine,[M+H]+,GLUUGHFHXGJENI-UHFFFAOYSA-N,C1CNCCN1
247,16.876,87.09224,Piperazine,[M+H]+,GLUUGHFHXGJENI-UHFFFAOYSA-N,C1CNCCN1
249,21.159,87.09225,Piperazine,[M+H]+,GLUUGHFHXGJENI-UHFFFAOYSA-N,C1CNCCN1
259,22.488,87.09226,Piperazine,[M+H]+,GLUUGHFHXGJENI-UHFFFAOYSA-N,C1CNCCN1
266,18.262,87.09227,Piperazine,[M+H]+,GLUUGHFHXGJENI-UHFFFAOYSA-N,C1CNCCN1
267,20.404,87.09227,Piperazine,[M+H]+,GLUUGHFHXGJENI-UHFFFAOYSA-N,C1CNCCN1
269,21.399,87.09227,2-methylpropanimidamide,[M+H]+,NDAJNMAAXXIADY-UHFFFAOYSA-N,CC(C)C(=N)N
273,20.58,87.09228,Piperazine,[M+H]+,GLUUGHFHXGJENI-UHFFFAOYSA-N,C1CNCCN1
276,17.017,87.09229,Piperazine,[M+H]+,GLUUGHFHXGJENI-UHFFFAOYSA-N,C1CNCCN1
278,16.645,87.0923,Butanimidamide,[M+H]+,RXKUYBRRTKRGME-UHFFFAOYSA-N,CCCC(N)=N
284,17.606,87.09232,Piperazine,[M+H]+,GLUUGHFHXGJENI-UHFFFAOYSA-N,C1CNCCN1
381,3.102,88.11269,pentan-1-amine,[M+H]+,DPBLXKKOBLCELK-UHFFFAOYSA-N,CCCCCN
382,2.859,88.11269,pentan-1-amine,[M+H]+,DPBLXKKOBLCELK-UHFFFAOYSA-N,CCCCCN
387,3.244,88.11272,pentan-1-amine,[M+H]+,DPBLXKKOBLCELK-UHFFFAOYSA-N,CCCCCN
390,2.545,88.11276,pentan-1-amine,[M+H]+,DPBLXKKOBLCELK-UHFFFAOYSA-N,CCCCCN
469,6.858,89.03904,PA-789-80,[M+H]+,VHKNCABIZFFKCD-UHFFFAOYSA-N,C=C=CC#CC#C
471,7.325,89.03909,PA-789-80,[M+H]+,VHKNCABIZFFKCD-UHFFFAOYSA-N,C=C=CC#CC#C
473,6.902,89.03911,PA-789-80,[M+H]+,VHKNCABIZFFKCD-UHFFFAOYSA-N,C=C=CC#CC#C
474,6.249,89.03912,PA-789-80,[M+H]+,VHKNCABIZFFKCD-UHFFFAOYSA-N,C=C=CC#CC#C
477,7.166,89.03913,PA-789-80,[M+H]+,VHKNCABIZFFKCD-UHFFFAOYSA-N,C=C=CC#CC#C
484,12.172,89.03915,PA-789-80,[M+H]+,VHKNCABIZFFKCD-UHFFFAOYSA-N,C=C=CC#CC#C
485,7.428,89.03918,PA-789-80,[M+H]+,VHKNCABIZFFKCD-UHFFFAOYSA-N,C=C=CC#CC#C
488,8.359,89.03918,PA-789-80,[M+H]+,VHKNCABIZFFKCD-UHFFFAOYSA-N,C=C=CC#CC#C
490,7.626,89.03919,PA-789-80,[M+H]+,VHKNCABIZFFKCD-UHFFFAOYSA-N,C=C=CC#CC#C
496,5.271,89.03921,PA-789-80,[M+H]+,VHKNCABIZFFKCD-UHFFFAOYSA-N,C=C=CC#CC#C
507,7.687,89.03929,PA-789-80,[M+H]+,VHKNCABIZFFKCD-UHFFFAOYSA-N,C=C=CC#CC#C
508,1.615,89.04259,3-(Methylthio)-1-propene,[M+H]+,NVLPQIPTCCLBEU-UHFFFAOYSA-N,CSCC=C
644,0.158,90.00915,PubChem_53393472,[M+H]+,BEAHPBOIPPBJEX-UHFFFAOYSA-N,[C]1[C][C][C]([C]1)C=O
822,24.86,90.94817,PubChem_16212042,[M+H]+,GRUOPLGVDVEVKY-UHFFFAOYSA-N,C(=N)=[Cu]
823,0.679,90.9482,PubChem_16212042,[M+H]+,GRUOPLGVDVEVKY-UHFFFAOYSA-N,C(=N)=[Cu]
825,24.459,90.9482,PubChem_16212042,[M+H]+,GRUOPLGVDVEVKY-UHFFFAOYSA-N,C(=N)=[Cu]
828,24.605,90.94823,PubChem_16212042,[M+H]+,GRUOPLGVDVEVKY-UHFFFAOYSA-N,C(=N)=[Cu]
833,0.184,90.94827,PubChem_16212042,[M+H]+,GRUOPLGVDVEVKY-UHFFFAOYSA-N,C(=N)=[Cu]
835,0.571,90.94827,PubChem_16212042,[M+H]+,GRUOPLGVDVEVKY-UHFFFAOYSA-N,C(=N)=[Cu]
837,24.771,90.94828,PubChem_16212042,[M+H]+,GRUOPLGVDVEVKY-UHFFFAOYSA-N,C(=N)=[Cu]
846,0.064,90.94839,PubChem_16212042,[M+H]+,GRUOPLGVDVEVKY-UHFFFAOYSA-N,C(=N)=[Cu]
903,1.547,91.03841,Monoethyl carbonate,[M+H]+,CQDGTJPVBWZJAZ-UHFFFAOYSA-N,CCOC(O)=O
